Dataset,Attack,Paper_RR,Repro_RR,Paper_LPR,Detected,Diff_RR
CIFAR,1p,0.9738,0.9286,0.0008,0.9286,-0.04520000000000002
CIFAR,2p,0.9789,0.8,0.0006,0.8667,-0.17889999999999995
CIFAR,4p,0.9747,0.9333,0.0,1.0,-0.04139999999999999
CIFAR,T,0.8566,0.8667,0.0,1.0,0.010099999999999998
ImageNet,1p,0.8869,0.8667,0.0071,1.0,-0.020199999999999996
ImageNet,2p,0.8535,0.6667,0.0061,0.8667,-0.18680000000000008
ImageNet,4p,0.8436,0.4667,0.0086,0.9333,-0.3769
ImageNet,T,0.5065,0.4,0.0612,0.6667,-0.10649999999999993
INRIA,1p,0.5909,0.7917,0.0152,0.9583,0.20079999999999998
INRIA,2p,0.3871,0.8571,0.0,1.0,0.47
INRIA,T,0.4737,0.3636,0.0526,0.5455,-0.11010000000000003
VOC,1p,0.5404,0.5385,0.0293,1.0,-0.0019000000000000128
VOC,2p,0.5376,0.5263,0.0125,1.0,-0.011299999999999977
VOC,T,0.4244,0.15,0.0348,0.8,-0.2744
VOC,MO,0.3955,0.2593,0.0095,1.0,-0.13620000000000004
